phone_number,price
094-632-8987,888888
088-789-9595,850000
092-454-1465,850000
087-655-5555,840000
065-990-9999,800000
081-370-2442,799999
081-820-4747,799999
091-414-5151,799001
092-999-9992,799000
091-979-9999,799000
098-789-5156,790000
088-789-4424,789000
093-789-9514,789000
089-211-1111,770000
083-833-3333,770000
086-477-7777,750000
087-000-7667,750000
088-766-6666,740000
089-789-3565,699999
089-564-1651,699999
099-393-9393,699999
095-798-8763,699999
098-789-1544,699000
098-789-1569,699000
063-558-8877,690057
087-722-2222,690000
089-696-6969,690000
098-228-9289,690000
063-786-5675,689999
080-987-4456,654789
064-289-9465,650000
064-289-7891,650000
088-765-4321,650000
081-633-3333,650000
088-009-9999,650000
086-833-3333,650000
095-789-3654,650000
095-789-5659,650000
081-818-1879,600000
081-979-7919,600000
086-166-6611,600000
095-889-8888,600000
094-636-3636,600000
098-997-9999,600000
081-509-5599,599999
099-494-9494,599999
099-292-9292,599999
091-789-5654,599999
098-282-9595,599999
094-563-9789,599990
085-545-5454,599900
099-456-6456,599900
089-789-6656,599000
081-688-8335,599000
089-789-3956,599000
098-789-2424,599000
098-789-2462,599000
098-789-2295,599000
098-789-2466,599000
098-789-2464,599000
098-789-2469,599000
098-789-2463,599000
098-789-2556,599000
098-789-2354,599000
098-789-2355,599000
098-789-2399,599000
081-636-5142,590500
065-789-1456,590000
065-151-5555,590000
088-777-7817,590000
088-777-7816,590000
088-777-7503,590000
088-777-7950,590000
088-777-7509,590000
088-777-7168,590000
088-777-7903,590000
088-777-7902,590000
088-777-7512,590000
088-777-7507,590000
088-777-7516,590000
085-022-2222,590000
087-789-6395,590000
088-111-6888,590000
089-955-9595,590000
084-545-5454,590000
081-888-1668,590000
081-869-8888,590000
091-553-3678,590000
091-939-3939,590000
095-939-6269,570000
099-356-6656,560000
092-456-5659,559999
090-545-4545,555555
095-151-5159,555555
095-151-5154,555555
099-151-5159,555555
095-155-1555,555555
088-264-4444,555000
098-798-2895,555000
088-777-7808,550000
087-789-6665,550000
097-895-5555,550000
091-909-0909,550000
091-789-1414,550000
092-987-9456,549000
092-987-9465,540000
094-345-6789,520000
094-563-6351,510000
063-345-6789,500000
065-234-5678,500000
081-843-5555,500000
084-644-4664,500000
096-789-3939,500000
091-478-9999,500000
094-789-5445,500000
096-789-5959,500000
093-789-5959,500000
061-545-6565,499999
063-789-5555,499999
095-456-2465,499999
095-459-5789,499999
098-789-1923,499999
094-789-9563,499999
094-692-9996,499999
083-789-4556,499990
081-661-8888,499000
082-987-8789,499000
098-789-1615,499000
098-789-1598,499000
098-789-1564,499000
098-789-1596,499000
098-789-1546,499000
098-789-2446,499000
094-789-9224,499000
098-789-1519,499000
089-559-5959,490000
087-511-1111,490000
088-777-0000,490000
081-525-9999,490000
081-561-9999,490000
090-909-0949,490000
090-919-0909,490000
093-456-4789,490000
096-789-9595,490000
085-880-8888,488000
062-234-5678,470000
080-459-9999,470000
098-789-2694,469000
098-789-2695,469000
098-789-2669,469000
088-789-4264,460000
099-789-5639,459999
094-545-4154,459999
062-879-8989,459000
091-789-5645,459000
063-789-5999,450000
062-563-6565,450000
064-789-6969,450000
064-789-7878,450000
086-168-1688,450000
084-515-6565,450000
088-177-7792,450000
088-245-9999,450000
087-789-1515,450000
088-829-5555,450000
088-829-6666,450000
083-289-2424,450000
082-222-7895,450000
087-789-5556,450000
083-544-4445,450000
094-639-3965,450000
092-424-5456,450000
093-242-4242,450000
092-424-5645,450000
092-424-5595,450000
094-496-6456,450000
098-898-8998,450000
094-789-9995,450000
091-445-5599,450000
092-424-5565,450000
091-556-5599,450000
092-424-5659,450000
094-789-5554,450000
096-789-5151,450000
091-789-2424,450000
090-789-4165,449999
063-289-9999,440000
086-999-7777,440000
098-012-3456,440000
083-333-3343,430000
080-002-2222,430000
097-997-7777,430000
095-765-4321,430000
089-459-9999,420000
089-789-4615,420000
089-667-7777,410000
080-177-7798,410000
064-789-6446,400000
064-789-1551,400000
064-789-8787,400000
064-789-9696,400000
084-909-9999,400000
095-886-8888,400000
094-878-9545,400000
090-978-5656,400000
061-965-9656,399999
062-686-8685,399999
061-789-9655,399999
063-289-5555,399999
080-456-4265,399999
083-642-3956,399999
092-656-5465,399999
097-879-8888,399999
095-156-3651,399999
095-641-4142,399999
095-639-6565,399999
096-765-4321,399999
098-789-6442,399999
099-351-9999,399999
099-395-9996,399999
065-789-3639,399000
085-368-8888,399000
086-323-2323,399000
088-789-9351,399000
084-982-6395,399000
098-789-1553,399000
098-789-2696,399000
098-789-2544,399000
098-844-8888,399000
098-789-1524,399000
098-789-2455,399000
098-789-2326,399000
098-789-2324,399000
098-789-2328,399000
098-789-4515,395000
061-789-7893,390000
065-151-6666,390000
088-868-6868,390000
083-369-9999,390000
080-123-0000,390000
081-168-0000,390000
081-999-6669,390000
095-545-6556,390000
095-545-5566,390000
084-246-4789,389000
094-789-9828,389000
088-888-8877,388888
095-468-8887,388888
064-883-8888,388000
086-757-7777,380000
086-888-7777,380000
084-765-4321,380000
087-575-7575,380000
093-575-5555,380000
088-788-8891,370000
088-696-5146,369999
095-565-5424,369999
083-697-9999,365000
063-765-4321,360000
086-439-9999,360000
086-007-7777,360000
095-654-6424,360000
095-654-6514,360000
061-782-4615,359999
061-424-4645,359999
091-789-5695,359999
095-665-4556,359999
095-641-5641,359999
098-789-5594,359900
098-789-6515,359000
096-699-6666,359000
065-455-4555,350000
061-787-8955,350000
064-789-9191,350000
062-879-6556,350000
082-789-5456,350000
089-789-5642,350000
081-454-5656,350000
083-000-9999,350000
080-480-8488,350000
086-767-6767,350000
084-691-9999,350000
086-829-6565,350000
083-556-9999,350000
083-646-9999,350000
090-878-9365,350000
094-789-9359,350000
093-565-6656,350000
093-789-5636,350000
091-454-5995,350000
091-514-6565,350000
096-789-1991,350000
096-782-4242,350000
098-994-9999,350000
098-789-5655,350000
096-789-5156,350000
097-654-3210,350000
087-676-7676,330000
085-222-7777,330000
090-357-1138,330000
092-451-5654,329999
092-324-5656,329999
089-358-8888,329000
062-995-9999,320000
062-996-9999,320000
088-889-8881,320000
089-988-8989,320000
086-111-5555,320000
094-242-3642,320000
097-718-8888,320000
086-868-6860,310000
087-373-7373,310000
083-737-3737,310000
089-321-1111,310000
085-666-1111,310000
081-207-7777,310000
097-438-8888,310000
061-553-6565,300000
062-563-5959,300000
063-078-8888,300000
062-994-9999,300000
086-988-8999,300000
083-113-3113,300000
081-307-7777,300000
081-125-1111,300000
083-789-5856,300000
081-125-2222,300000
084-679-9999,300000
086-000-0232,300000
085-536-9965,300000
096-565-6426,300000
090-554-5556,300000
094-287-8998,300000
095-789-2959,300000
094-415-5965,300000
061-789-8965,299999
064-569-5656,299999
064-659-5456,299999
064-978-9789,299999
082-454-2465,299999
080-478-9789,299999
095-645-5659,299999
095-424-6542,299999
091-789-6595,299999
093-651-5642,299999
099-959-9956,299999
094-782-4664,299999
099-789-6564,299999
095-565-9556,299999
095-789-4665,299999
099-959-5956,299999
091-789-6464,299999
098-782-3656,299999
095-456-5556,299999
064-789-6363,299990
065-789-3636,299900
086-353-5353,299900
094-965-6565,299900
095-559-5656,299900
091-563-9999,299900
099-156-5555,299900
099-789-5426,299900
088-563-6997,299500
085-564-5454,299000
098-789-9878,299000
092-597-8999,299000
098-789-1905,299000
099-909-9002,299000
097-770-7777,299000
061-425-9999,295000
061-597-9999,295000
062-879-9559,295000
081-692-5555,295000
082-328-1666,290000
085-164-2222,290000
086-996-9696,290000
086-789-9898,290000
085-599-9595,290000
080-101-0000,290000
080-123-7777,290000
095-556-5151,290000
092-424-5159,290000
096-644-6666,290000
092-424-5636,290000
092-424-5154,290000
094-000-4444,290000
092-789-8959,290000
094-456-5456,290000
099-099-7899,290000
099-099-7895,290000
099-099-8789,290000
099-099-7898,290000
098-779-9988,290000
091-789-6656,289999
091-789-6554,289999
062-064-8289,289000
064-289-8898,289000
098-789-2563,289000
098-789-2559,289000
098-789-2569,289000
098-789-2545,289000
094-287-9782,287990
063-789-5444,280000
062-879-5454,280000
063-909-4999,280000
082-168-1688,280000
086-868-6862,280000
083-838-3837,280000
095-564-2465,280000
099-000-9909,280000
094-593-8999,277000
062-312-3456,270000
089-457-7777,270000
087-907-7777,270000
083-618-8888,270000
083-715-5555,270000
093-134-5678,270000
090-562-3695,265000
063-278-8888,260000
062-612-3456,260000
061-212-3456,260000
063-134-5678,260000
087-789-5924,260000
086-912-3456,260000
085-907-7777,260000
097-000-7777,260000
098-998-8988,260000
096-969-9666,260000
085-789-5624,259999
081-789-5645,259999
088-797-8255,259000
093-000-3333,259000
095-000-5555,259000
092-000-2222,259000
096-000-6666,259000
090-000-0888,259000
094-242-4272,259000
088-789-9624,250100
062-519-6556,250000
063-789-6444,250000
062-879-1466,250000
087-782-9999,250000
088-777-7990,250000
088-879-6566,250000
084-888-8770,250000
087-666-8868,250000
081-998-8988,250000
095-141-5656,250000
095-564-6556,250000
094-551-5151,250000
090-656-4564,250000
090-909-0099,250000
093-939-3930,250000
095-545-1456,250000
095-550-2555,250000
095-551-4151,250000
095-556-4151,250000
095-145-5999,250000
098-789-7890,250000
098-269-5656,250000
095-559-1515,250000
097-408-8888,250000
095-415-6555,250000
095-551-4241,250000
095-656-5141,250000
095-554-5651,250000
095-551-5141,250000
095-978-9289,250000
095-556-5141,250000
095-554-5156,250000
092-898-2898,250000
093-235-1956,250000
093-789-4595,250000
092-789-4569,250000
095-328-9789,250000
095-551-5556,250000
095-456-7890,250000
091-878-9456,250000
095-556-3939,250000
096-289-5465,250000
096-289-7895,250000
095-987-8956,250000
084-789-5639,249999
095-454-5156,249999
091-919-6565,249900
094-879-8888,249900
095-456-5642,249900
083-789-1414,246000
080-289-4545,245000
095-545-5666,245000
088-777-7907,240000
086-660-2224,240000
088-777-7912,240000
088-777-7502,240000
088-777-7501,240000
088-777-7910,240000
088-777-7905,240000
088-777-7840,240000
088-777-7906,240000
088-777-7901,240000
087-222-2221,240000
082-464-6464,240000
089-385-5555,240000
098-782-4654,240000
094-545-4551,240000
091-234-5667,234567
091-229-9999,230000
098-792-6395,229999
094-593-6999,223000
086-497-7777,220000
081-301-1111,220000
081-463-3333,220000
086-777-7775,220000
085-995-9559,220000
089-696-9669,220000
090-000-0777,220000
092-678-9999,220000
095-665-5565,220000
099-469-5656,220000
091-199-1111,220000
087-787-7877,219000
086-457-7777,210000
085-565-6555,210000
094-949-4940,210000
097-363-3333,210000
098-919-3519,210000
082-424-2442,200000
083-690-9999,200000
083-888-8989,200000
087-676-9999,200000
086-642-6424,200000
086-767-9999,200000
083-133-3334,200000
089-888-8588,200000
086-914-2465,200000
083-111-1142,200000
097-979-8989,200000
096-596-4569,200000
095-505-4554,200000
092-289-1689,200000
095-419-5999,200000
097-289-5656,200000
097-289-6565,200000
096-879-9645,200000
096-556-5556,200000
099-978-9159,200000
099-449-9249,200000
098-595-5985,200000
063-782-5555,199999
064-465-4565,199999
064-639-3636,199999
064-426-5956,199999
062-636-4656,199999
062-789-1999,199999
088-782-6636,199999
089-155-5959,199999
089-789-3263,199999
085-198-9999,199999
086-824-5555,199999
095-142-4656,199999
091-789-9659,199999
095-542-4654,199999
091-789-2659,199999
095-654-5142,199999
095-656-5451,199999
095-565-1554,199999
099-782-4659,199999
099-198-7955,199999
095-142-4659,199999
095-145-5915,199999
099-789-9651,199999
092-246-5959,199999
095-145-5195,199999
093-651-5641,199999
092-324-6465,199999
099-782-6514,199999
099-287-8965,199999
099-878-9891,199999
095-515-1954,199999
098-987-9987,199999
094-595-9959,199999
095-987-9987,199999
097-987-9987,199999
095-145-5645,199999
095-415-5156,199999
099-146-5151,199999
095-651-4542,199999
090-909-8000,199999
095-559-6565,199999
095-961-9992,199999
082-636-5656,199995
093-198-7891,199991
065-789-5599,199900
082-423-9999,199900
097-789-5666,199900
094-415-6565,199900
091-919-5151,199900
064-156-6565,199000
063-282-8282,199000
064-545-5665,199000
062-879-7896,199000
082-987-9898,199000
085-954-6289,199000
088-797-8254,199000
089-789-5266,199000
080-888-0088,199000
088-987-9987,199000
082-789-1628,199000
088-287-8928,199000
080-080-8808,199000
084-554-5445,199000
088-799-9997,199000
098-789-6569,199000
099-059-0550,199000
098-789-1552,199000
098-789-2535,199000
098-789-2542,199000
098-789-2478,199000
098-789-2479,199000
091-553-6666,199000
098-789-2823,199000
098-789-2553,199000
098-789-2554,199000
098-789-2546,199000
094-789-8865,198888
097-978-8879,198000
062-424-6545,195000
085-393-9999,195000
085-090-9999,195000
089-789-7823,195000
098-978-9978,195000
064-198-7424,190000
087-788-7788,190000
083-999-9199,190000
087-789-5415,190000
081-342-2222,190000
085-665-6566,190000
086-371-1111,190000
088-668-8686,190000
087-789-5951,190000
084-554-4545,190000
086-655-6566,190000
084-484-4844,190000
085-655-6656,190000
083-883-8838,190000
086-565-6564,190000
083-789-5942,190000
082-789-7889,190000
096-396-3959,190000
096-696-6996,190000
092-789-1789,190000
097-289-3939,190000
095-515-5915,190000
092-424-5365,190000
098-789-6989,190000
096-556-5655,190000
098-765-4327,190000
093-564-7898,190000
092-789-1168,190000
099-982-9456,189999
099-982-6456,189999
098-795-9365,189999
097-998-9998,189999
061-289-6289,189000
081-424-5156,189000
089-997-7942,189000
095-456-4642,189000
094-258-8866,189000
098-098-8899,189000
093-454-5456,187000
087-654-4321,185000
061-494-9999,180000
061-656-3636,180000
081-888-9977,180000
081-789-9559,180000
082-393-9393,180000
081-111-1611,180000
081-888-2525,180000
084-307-9999,180000
087-388-9999,180000
089-969-6699,180000
086-577-9999,180000
081-101-1100,180000
088-277-9999,180000
085-995-9995,180000
080-266-8888,180000
086-939-8888,180000
085-363-5555,180000
083-656-4444,180000
080-999-9499,180000
095-796-9555,180000
095-579-9555,180000
098-765-4326,180000
098-765-4329,180000
091-879-2424,180000
096-879-2454,180000
092-879-2995,180000
095-554-5556,180000
098-879-2465,180000
091-879-5156,180000
095-879-5142,180000
095-956-2424,179999
085-989-7999,179000
095-515-4565,179000
095-915-6565,179000
095-651-4156,179000
097-895-4566,171500
089-559-5999,170000
086-808-9999,170000
083-575-9999,170000
087-646-8888,170000
087-383-8888,170000
098-765-4328,170000
091-919-1910,170000
098-765-4325,170000
092-797-9999,170000
098-765-4323,170000
097-727-9999,170000
064-789-4545,169999
063-246-6365,169999
085-654-2456,169999
081-888-6969,169999
082-328-9879,169000
081-000-0051,169000
098-789-2623,169000
098-789-2625,169000
098-789-2619,169000
098-168-8399,168888
093-666-1688,168888
066-168-1686,168000
085-388-8883,168000
093-168-1685,168000
088-789-3256,165000
098-798-9978,165000
094-323-6565,165000
094-639-2459,165000
094-639-2456,165000
096-789-6456,165000
092-979-2222,165000
086-696-9966,160000
089-955-9995,160000
088-554-9999,160000
086-688-8686,160000
083-444-3444,160000
086-996-9669,160000
087-553-5555,160000
084-545-4554,160000
085-060-9999,160000
085-400-8888,160000
088-568-9999,160000
089-404-9999,160000
083-595-8888,160000
087-456-8888,160000
083-727-8888,160000
081-777-7744,160000
094-654-2456,160000
095-565-6665,160000
096-656-5556,160000
097-717-9999,160000
097-717-8888,160000
061-668-6689,159999
064-246-5459,159999
061-789-6536,159999
065-554-2456,159999
061-789-6559,159999
062-626-2624,159999
086-428-9656,159999
082-246-3965,159999
081-424-1565,159999
084-545-9145,159999
086-242-6365,159999
084-454-5456,159999
081-782-9635,159999
086-545-5445,159999
085-990-9555,159999
082-546-5656,159999
083-789-9899,159999
080-456-4540,159999
095-142-4542,159999
092-456-4515,159999
099-469-2456,159999
095-565-6415,159999
094-789-3245,159999
095-879-7826,159999
098-896-8888,159999
092-562-8888,159999
092-652-9999,159999
098-789-2991,159999
081-546-4545,159900
098-198-2891,159900
098-879-6656,159900
091-954-2456,159900
091-959-5454,159900
090-536-9999,159900
091-954-6565,159900
092-424-4542,159900
085-456-5959,159595
061-789-5351,159000
063-664-7895,159000
062-978-9654,159000
064-245-4656,159000
082-424-6595,159000
081-654-6465,159000
088-797-8253,159000
081-220-2222,159000
088-787-4639,159000
081-222-6969,159000
089-717-1717,159000
080-110-8108,159000
081-234-6969,159000
080-883-8883,159000
097-676-9999,159000
095-659-8787,159000
095-415-6554,159000
095-556-4142,159000
095-514-5159,159000
098-992-5555,159000
092-424-2828,159000
090-390-3903,159000
091-915-1515,159000
097-624-9999,159000
081-971-7171,156900
062-424-4656,156000
063-987-8915,155000
064-289-8295,150100
089-789-9623,150100
098-789-4632,150100
094-789-4693,150100
098-789-9192,150100
098-789-6423,150100
065-441-5656,150000
065-955-6555,150000
063-789-5651,150000
062-424-5659,150000
061-879-5555,150000
063-789-5156,150000
063-563-3333,150000
063-883-8999,150000
064-565-5455,150000
063-558-5555,150000
081-909-9000,150000
086-999-9696,150000
086-955-9599,150000
089-888-8879,150000
088-919-9218,150000
085-454-4554,150000
087-789-5545,150000
087-447-8888,150000
087-789-4551,150000
086-355-6666,150000
082-789-4269,150000
086-789-3366,150000
087-507-7777,150000
087-789-3669,150000
086-359-6666,150000
082-345-6777,150000
087-789-2244,150000
081-333-3363,150000
089-474-9999,150000
085-454-5444,150000
082-700-8888,150000
087-577-8888,150000
085-595-4555,150000
083-912-9999,150000
089-707-9999,150000
086-414-5656,150000
083-287-9995,150000
088-289-9289,150000
088-829-9595,150000
083-190-9999,150000
085-323-9999,150000
089-447-9999,150000
088-782-6564,150000
080-233-9999,150000
083-577-8888,150000
083-130-9999,150000
087-782-4546,150000
086-465-6456,150000
086-565-6535,150000
080-808-8089,150000
095-454-4555,150000
095-141-4156,150000
099-141-5151,150000
095-155-4555,150000
095-565-6446,150000
099-154-2415,150000
095-159-1456,150000
095-514-2459,150000
092-789-6699,150000
096-365-9535,150000
095-954-5142,150000
095-445-4599,150000
092-451-5154,150000
091-789-6979,150000
096-565-6965,150000
095-541-4455,150000
094-595-1551,150000
095-978-8879,150000
095-145-9515,150000
099-289-2889,150000
095-145-5156,150000
095-415-9515,150000
095-651-5656,150000
095-951-5951,150000
095-514-5951,150000
091-789-3928,150000
092-991-8888,150000
092-424-5466,150000
095-651-5651,150000
093-939-3931,150000
095-595-9696,150000
092-789-1569,150000
093-789-2889,150000
094-949-4947,150000
096-789-9559,150000
095-194-5656,150000
092-340-9999,150000
092-484-9999,150000
096-959-2456,150000
092-879-9354,150000
094-879-6656,150000
095-663-6415,150000
097-468-8888,150000
093-626-2449,150000
095-193-9466,150000
061-789-7889,149999
086-545-1965,149999
098-795-6359,149999
099-926-5399,149999
099-456-1465,149999
061-424-4141,149900
065-451-4515,149900
094-636-5656,149900
064-565-5454,149000
082-424-1111,149000
083-681-9999,149000
087-124-8888,149000
096-289-6554,149000
083-818-1818,148000
097-789-4559,147000
097-789-3639,147000
063-789-1789,145000
065-662-2465,145000
082-324-6542,145000
089-372-2222,145000
092-892-4564,145000
093-628-7956,145000
098-995-8888,145000
096-696-9996,145000
091-897-9289,145000
092-426-6556,145000
082-451-4156,142400
081-646-1478,142000
081-647-4624,142000
064-289-3939,140000
061-265-4321,140000
087-789-8782,140000
089-750-9999,140000
089-559-9959,140000
086-969-9966,140000
089-955-9959,140000
089-434-8888,140000
086-905-8888,140000
084-919-9218,140000
085-499-8888,140000
089-350-8888,140000
085-162-2222,140000
089-014-8888,140000
081-980-8888,140000
083-789-1965,140000
093-651-4242,140000
095-465-9556,140000
092-454-5445,140000
093-636-3641,140000
090-516-8888,140000
095-919-9218,140000
094-545-4569,140000
099-465-6556,140000
095-656-5624,140000
095-656-5623,140000
095-556-5465,139999
095-654-2455,139999
095-645-1465,139999
065-147-7777,130000
082-455-5444,130000
088-688-8668,130000
085-007-8888,130000
088-047-9999,130000
082-888-8488,130000
089-999-5595,130000
085-544-5444,130000
099-595-9596,130000
096-565-6564,130000
094-919-9218,130000
091-919-1913,130000
097-727-2727,130000
095-954-5566,130000
093-653-6365,130000
064-559-6565,129999
064-989-8789,129999
062-626-2642,129999
082-463-6565,129999
084-789-1539,129999
086-459-5555,129999
081-426-4656,129999
087-666-6639,129999
092-465-5956,129999
091-954-6666,129999
097-915-6666,129999
094-789-3664,129999
095-565-6656,129999
092-465-4245,129999
096-656-5565,129999
094-782-4156,129999
092-451-5456,129999
095-464-5642,129999
092-628-7895,129999
099-782-6545,129990
091-545-6365,129990
064-456-4654,129900
099-159-7895,129900
084-242-4656,129000
088-868-6686,129000
084-088-8880,129000
081-775-7575,129000
091-546-5156,129000
097-861-1111,129000
090-959-9959,129000
095-459-5666,129000
091-782-4559,129000
095-559-1514,129000
099-145-5454,129000
095-429-2465,129000
095-456-6451,129000
062-626-6266,125000
098-798-9987,125000
091-782-6565,125000
094-252-5942,125000
092-325-5592,125000
091-555-3656,125000
087-789-9366,124000
064-995-5999,120000
064-989-8999,120000
062-989-5989,120000
063-778-8999,120000
063-789-4789,120000
064-456-6465,120000
062-595-9559,120000
063-789-1556,120000
064-554-4656,120000
064-654-4656,120000
063-959-9599,120000
089-090-9000,120000
081-886-8686,120000
088-246-8888,120000
083-644-4265,120000
085-656-5624,120000
083-646-4646,120000
086-966-9996,120000
085-777-7797,120000
086-459-8888,120000
089-814-9999,120000
089-713-9999,120000
089-657-9999,120000
089-410-9999,120000
089-472-9999,120000
089-647-9999,120000
089-782-4695,120000
088-879-6965,120000
082-782-4465,120000
089-680-9999,120000
084-265-4556,120000
097-989-1465,120000
095-515-6541,120000
093-665-6595,120000
094-287-8289,120000
092-424-5563,120000
092-789-5541,120000
095-456-1989,120000
095-565-9696,120000
095-456-1545,120000
094-556-5565,120000
092-424-5653,120000
092-424-5464,120000
099-456-5444,120000
092-424-5644,120000
096-236-2365,120000
092-789-5469,120000
094-556-5515,120000
095-695-4141,120000
095-695-1414,120000
099-445-5995,120000
098-789-4251,120000
095-551-4646,120000
098-997-8951,120000
095-194-6565,120000
091-993-5656,120000
095-879-9142,120000
096-789-8998,120000
092-919-5656,120000
098-028-0808,120000
098-795-9545,120000
098-879-4557,120000
096-289-3659,120000
099-982-4659,119999
097-789-6359,119700
087-123-8888,119000
085-829-6351,119000
061-919-9218,110000
061-234-5679,110000
083-919-9218,110000
085-595-9955,110000
085-595-5599,110000
086-969-9996,110000
085-554-5444,110000
083-588-8885,110000
089-075-8888,110000
085-636-7777,110000
085-559-5995,110000
087-464-6464,110000
081-400-0004,110000
087-999-9595,110000
089-071-8888,110000
088-686-6686,110000
087-020-9999,110000
084-818-8216,110000
089-666-6686,110000
089-755-5576,110000
092-765-9999,110000
095-959-5957,110000
092-592-8888,110000
092-980-8888,110000
095-089-8989,110000
099-969-6669,110000
090-818-8216,110000
093-818-8216,110000
094-789-8899,110000
095-656-5650,110000
095-818-8216,110000
092-818-8216,110000
098-282-2828,110000
063-561-4444,109999
061-789-9663,109000
097-789-2459,105000
097-789-4535,105000
097-789-4514,105000
097-789-4562,105000
097-789-3655,104700
097-789-6354,104700
097-789-6355,104700
097-789-3646,104700
080-980-8888,100088
061-636-5656,100000
061-234-5671,100000
061-539-5656,100000
061-568-6365,100000
061-282-8799,100000
061-234-5676,100000
061-568-6865,100000
064-545-6645,100000
064-545-5646,100000
064-546-5646,100000
064-564-4645,100000
064-456-6454,100000
064-789-8998,100000
064-141-5656,100000
061-829-8282,100000
083-541-5554,100000
083-689-8989,100000
085-595-9559,100000
083-111-1131,100000
086-494-9494,100000
081-556-9556,100000
086-798-9898,100000
084-262-6262,100000
087-689-8989,100000
086-111-1181,100000
082-879-9995,100000
086-565-6587,100000
087-666-6676,100000
085-393-9393,100000
085-383-8383,100000
081-859-8889,100000
088-879-6355,100000
081-805-5559,100000
081-809-5559,100000
088-782-6354,100000
089-244-4414,100000
083-593-6565,100000
083-789-5859,100000
085-416-2442,100000
097-997-9399,100000
097-997-9799,100000
092-345-6784,100000
099-145-9919,100000
096-669-9696,100000
094-446-4464,100000
099-465-9797,100000
090-535-3535,100000
094-879-9799,100000
098-789-9893,100000
090-954-2456,100000
099-818-8216,100000
093-456-7891,100000
093-456-7892,100000
094-464-4644,100000
096-919-6556,100000
095-456-4454,100000
095-429-5156,100000
096-995-4242,100000
095-445-6454,100000
099-442-6565,100000
095-653-9955,100000
094-879-8965,100000
092-345-6785,100000
099-242-4646,100000
097-464-6464,100000
095-246-4446,100000
096-886-8688,100000
091-464-2424,100000
094-589-8989,100000
095-789-5495,100000
095-771-7177,100000
064-246-5959,99999
062-956-5959,99999
064-879-8789,99999
062-454-5465,99999
061-978-7895,99999
064-289-5145,99999
065-191-9898,99999
064-554-6556,99999
065-628-9356,99999
064-515-1545,99999
064-141-4156,99999
065-459-5665,99999
065-651-5599,99999
065-955-9789,99999
064-287-8289,99999
062-459-5636,99999
064-545-5465,99999
062-939-5656,99999
061-453-6456,99999
064-479-8787,99999
062-635-5695,99999
089-424-4542,99999
081-900-6000,99999
089-365-9595,99999
089-642-6565,99999
082-454-5554,99999
080-428-9965,99999
088-979-8989,99999
088-288-8879,99999
084-919-7777,99999
088-789-5988,99999
084-420-2222,99999
080-245-4514,99999
085-245-6666,99999
087-661-1164,99999
088-887-7766,99999
083-265-4565,99999
088-887-6543,99999
082-539-9995,99999
084-556-4554,99999
089-789-5353,99999
088-797-8252,99999
083-959-9956,99999
089-789-3546,99999
080-595-9545,99999
082-464-5999,99999
087-474-7465,99999
082-424-1956,99999
082-424-6956,99999
082-264-5456,99999
081-756-8888,99999
082-264-5465,99999
087-888-9789,99999
082-384-9999,99999
088-798-7915,99999
084-249-6556,99999
094-565-4656,99999
095-965-5654,99999
092-465-4156,99999
094-565-4651,99999
098-978-9828,99999
091-465-6515,99999
097-978-9782,99999
